nid,refseq_id,ncbi_name,ncbi_taxid,ncbi_species,ncbi_species_id
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__CAG-873 sp002491245,GCA_002361195.1,Porphyromonadaceae bacterium UBA3319,1952569,Porphyromonadaceae bacterium UBA3319,1952569.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__CAG-873 sp002493945,GCA_002362535.1,Porphyromonadaceae bacterium UBA3264,1952554,Porphyromonadaceae bacterium UBA3264,1952554.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__CAG-873 sp900548975,GCA_905212925.1,uncultured Porphyromonadaceae bacterium,348578,uncultured Porphyromonadaceae bacterium,348578.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__CAG-873 sp900554715,GCA_905209705.1,uncultured Porphyromonadaceae bacterium,348578,uncultured Porphyromonadaceae bacterium,348578.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__CAG-873 sp900759825,GCA_900759825.1,Bacteroidales bacterium,2030927,Bacteroidales bacterium,2030927.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__CAG-873 sp910587355,GCA_910587355.1,uncultured Muribaculaceae bacterium,2301481,uncultured Muribaculaceae bacterium,2301481.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__CAG-873;s__CAG-873 sp910587915,GCA_910587915.1,uncultured Muribaculaceae bacterium,2301481,uncultured Muribaculaceae bacterium,2301481.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__Duncaniella dubosii,GCF_004803915.1,Duncaniella dubosii,2518971,Duncaniella dubosii,2518971.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__Duncaniella sp001689575,GCA_003762875.1,Muribaculaceae bacterium Isolate-110 (HZI),2486473,Muribaculaceae bacterium Isolate-110 (HZI),2486473.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Duncaniella;s__Duncaniella sp001701225,GCA_001701225.1,Bacteroidales bacterium H5,1807753,Bacteroidales bacterium H5,1807753.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__HGM05232;s__HGM05232 sp900759955,GCA_900759955.1,Bacteroidales bacterium,2030927,Bacteroidales bacterium,2030927.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Limisoma;s__Limisoma gallistercoris,GCA_018712365.1,Candidatus Limisoma gallistercoris,2840855,Candidatus Limisoma gallistercoris,2840855.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Limisoma;s__Limisoma intestinavium,GCA_018714885.1,Candidatus Limisoma intestinavium,2840856,Candidatus Limisoma intestinavium,2840856.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Limisoma;s__Limisoma sp000437795,GCA_014847595.1,Porphyromonadaceae bacterium,2049046,Porphyromonadaceae bacterium,2049046.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Limisoma;s__Limisoma sp900541935,GCA_900753795.1,Bacteroidales bacterium,2030927,Bacteroidales bacterium,2030927.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Limisoma;s__Limisoma sp900544305,GCA_905206755.1,uncultured Muribaculaceae bacterium,2301481,uncultured Muribaculaceae bacterium,2301481.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Limisoma;s__Limisoma sp900548875,GCA_905203365.1,uncultured Muribaculaceae bacterium,2301481,uncultured Muribaculaceae bacterium,2301481.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum;s__Muribaculum gordoncarteri,GCA_003762665.1,Muribaculaceae bacterium Isolate-102 (HZI),2486470,Muribaculaceae bacterium Isolate-102 (HZI),2486470.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum;s__Muribaculum intestinale,GCF_003024845.1,Muribaculum intestinale,1796646,Muribaculum intestinale,1796646.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum;s__Muribaculum sp001701195,GCF_004570975.1,Barnesiella sp. WM24,2558278,Barnesiella sp. WM24,2558278.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum;s__Muribaculum sp002473395,GCA_004801635.1,Muribaculaceae bacterium,2498093,Muribaculaceae bacterium,2498093.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum;s__Muribaculum sp003150235,GCA_017624415.1,Candidatus Homeothermus sp.,2584099,Candidatus Homeothermus sp.,2584099.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Paramuribaculum;s__Paramuribaculum sp000431155,GCA_014867265.1,Paramuribaculum sp.,2518501,Paramuribaculum sp.,2518501.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Paramuribaculum;s__Paramuribaculum sp001689535,GCA_001689535.1,Bacteroidales bacterium M5,1807733,Bacteroidales bacterium M5,1807733.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Paramuribaculum;s__Paramuribaculum sp001689565,GCA_003762715.1,Muribaculaceae bacterium Isolate-104 (HZI),2486471,Muribaculaceae bacterium Isolate-104 (HZI),2486471.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Paramuribaculum;s__Paramuribaculum sp009775605,GCA_009775605.1,Paramuribaculum sp.,2518501,Paramuribaculum sp.,2518501.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Paramuribaculum;s__Paramuribaculum sp900759835,GCA_900759835.1,Bacteroidales bacterium,2030927,Bacteroidales bacterium,2030927.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Paramuribaculum;s__Paramuribaculum sp900760855,GCA_900760855.1,Bacteroidales bacterium,2030927,Bacteroidales bacterium,2030927.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Paramuribaculum;s__Paramuribaculum sp910579185,GCA_910579185.1,uncultured Muribaculaceae bacterium,2301481,uncultured Muribaculaceae bacterium,2301481.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Paramuribaculum;s__Paramuribaculum sp910587185,GCA_017934915.1,Muribaculaceae bacterium,2498093,Muribaculaceae bacterium,2498093.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Sodaliphilus;s__Sodaliphilus pleomorphus,GCF_009676955.1,Sodaliphilus pleomorphus,2606626,Sodaliphilus pleomorphus,2606626.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Sodaliphilus;s__Sodaliphilus sp004557565,GCA_016292975.1,Muribaculaceae bacterium,2498093,Muribaculaceae bacterium,2498093.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA7173;s__UBA7173 sp001689685,GCA_013317025.1,Muribaculaceae bacterium,2498093,Muribaculaceae bacterium,2498093.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA7173;s__UBA7173 sp001701135,GCA_001701135.1,Bacteroidales bacterium H3,1807751,Bacteroidales bacterium H3,1807751.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA7173;s__UBA7173 sp001915385,GCA_001915385.1,Bacteroidales bacterium 52_46,1897040,Bacteroidales bacterium 52_46,1897040.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA7173;s__UBA7173 sp002491305,GCA_004102785.1,Muribaculaceae bacterium Isolate-013 (NCI),2489218,Muribaculaceae bacterium Isolate-013 (NCI),2489218.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA7173;s__UBA7173 sp013316675,GCA_013316675.1,Muribaculaceae bacterium,2498093,Muribaculaceae bacterium,2498093.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA7173;s__UBA7173 sp900540205,GCA_014867155.1,Muribaculaceae bacterium,2498093,Muribaculaceae bacterium,2498093.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA7173;s__UBA7173 sp900545955,GCA_014867115.1,Muribaculaceae bacterium,2498093,Muribaculaceae bacterium,2498093.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA7173;s__UBA7173 sp900548705,GCA_905193935.1,uncultured Porphyromonadaceae bacterium,348578,uncultured Porphyromonadaceae bacterium,348578.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA7173;s__UBA7173 sp900555165,GCA_900755365.1,Bacteroidales bacterium,2030927,Bacteroidales bacterium,2030927.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA7173;s__UBA7173 sp900759895,GCA_900759895.1,Bacteroidales bacterium,2030927,Bacteroidales bacterium,2030927.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__UBA7173;s__UBA7173 sp905207535,GCA_905207535.1,uncultured Muribaculaceae bacterium,2301481,uncultured Muribaculaceae bacterium,2301481.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__RF16;s__RF16 sp900556095,GCA_905211725.1,uncultured Bacteroidales bacterium,194843,uncultured Bacteroidales bacterium,194843.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas asaccharolytica,GCF_000212375.1,Porphyromonas asaccharolytica DSM 20707,879243,Porphyromonas asaccharolytica,28123.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas endodontalis,GCF_000174815.1,Porphyromonas endodontalis ATCC 35406,553175,Porphyromonas endodontalis,28124.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas gingivalis,GCF_001314265.1,Porphyromonas gingivalis 381,1403335,Porphyromonas gingivalis,837.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas sp001552775,GCA_001552775.1,Bacteroidales bacterium KA00251,1497953,Bacteroidales bacterium KA00251,1497953.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas sp900538385,GCA_905194065.1,uncultured Porphyromonas sp.,159274,uncultured Porphyromonas sp.,159274.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas sp900548415,GCA_900757995.1,uncultured Porphyromonas sp.,159274,uncultured Porphyromonas sp.,159274.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas;s__Porphyromonas uenonis_A,GCF_000174775.1,Porphyromonas uenonis 60-3,596327,Porphyromonas uenonis,281920.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas_A;s__Porphyromonas_A bennonis,GCF_000375645.1,Porphyromonas bennonis DSM 23058 = JCM 16335,1122971,Porphyromonas bennonis,501496.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas_A;s__Porphyromonas_A somerae,GCF_000372405.1,Porphyromonas somerae DSM 23386,1122975,Porphyromonas somerae,322095.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Porphyromonas_A;s__Porphyromonas_A sp001808555,GCF_001808555.1,Porphyromonas sp. HMSC065F10,1739394,Porphyromonas sp. HMSC065F10,1739394.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes avistercoris,GCA_014867105.1,Alistipes sp.,1872444,Alistipes sp.,1872444.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes communis,GCF_006542665.1,Alistipes communis,2585118,Alistipes communis,2585118.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes cottocaccae,GCF_002161445.1,Alistipes sp. An66,1965650,Alistipes sp. An66,1965650.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes dispar,GCF_006542685.1,Alistipes dispar,2585119,Alistipes dispar,2585119.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes excrementigallinarum,GCF_002159425.1,Alistipes sp. An31A,1965631,Alistipes sp. An31A,1965631.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes faecigallinarum,GCA_019115605.1,Candidatus Alistipes faecigallinarum,2838439,Candidatus Alistipes faecigallinarum,2838439.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes finegoldii,GCF_015557985.1,Alistipes finegoldii,214856,Alistipes finegoldii,214856.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes megaguti,GCF_002161005.1,Alistipes sp. An116,1965546,Alistipes sp. An116,1965546.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes merdavium,GCA_014867065.1,Alistipes sp.,1872444,Alistipes sp.,1872444.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes merdipullorum,GCA_019120095.1,Candidatus Alistipes merdipullorum,2838444,Candidatus Alistipes merdipullorum,2838444.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii,GCF_015559605.1,Alistipes onderdonkii,328813,Alistipes onderdonkii,328813.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes provencensis,GCF_900083545.1,Alistipes provencensis,1816676,Alistipes provencensis,1816676.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes putredinis,GCF_015554085.1,Alistipes putredinis,28117,Alistipes putredinis,28117.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes senegalensis,GCF_015666955.1,Alistipes senegalensis,1288121,Alistipes senegalensis,1288121.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes shahii,GCF_015559775.1,Alistipes shahii,328814,Alistipes shahii,328814.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp002428825,GCA_002428825.1,Alistipes sp. UBA6068,1946012,Alistipes sp. UBA6068,1946012.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp900548155,GCA_017937535.1,Alistipes sp.,1872444,Alistipes sp.,1872444.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp900550925,GCA_905211035.1,uncultured Rikenellaceae bacterium,331634,uncultured Rikenellaceae bacterium,331634.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp910587675,GCA_910587675.1,uncultured Alistipes sp.,538949,uncultured Alistipes sp.,538949.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes stercorigallinarum,GCA_019119475.1,Candidatus Alistipes stercorigallinarum,2838448,Candidatus Alistipes stercorigallinarum,2838448.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes timonensis,GCF_015555395.1,Alistipes timonensis,1465754,Alistipes timonensis,1465754.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes_A;s__Alistipes_A ihumii,GCF_000321205.1,Alistipes ihumii AP11,1211813,Alistipes ihumii,1470347.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes_A;s__Alistipes_A indistinctus,GCF_014163495.1,Alistipes indistinctus,626932,Alistipes indistinctus,626932.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes_A;s__Alistipes_A pullicola,GCA_019113465.1,Candidatus Alistipes pullicola,2838445,Candidatus Alistipes pullicola,2838445.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes_A;s__Alistipes_A pullistercoris,GCF_003479305.1,Alistipes sp. AF17-16,2292190,Alistipes sp. AF17-16,2292190.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes_A;s__Alistipes_A sp900539755,GCA_905206515.1,uncultured Alistipes sp.,538949,uncultured Alistipes sp.,538949.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes_A;s__Alistipes_A sp900545315,GCA_905207375.1,uncultured Alistipes sp.,538949,uncultured Alistipes sp.,538949.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes_A;s__Alistipes_A sp910583985,GCA_910583985.1,uncultured Alistipes sp.,538949,uncultured Alistipes sp.,538949.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__DSM-108975;s__DSM-108975 sp014982715,GCA_014982715.1,Gallalistipes aquisgranensis,2779358,Gallalistipes aquisgranensis,2779358.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Rikenella;s__Rikenella microfusus,GCF_000427365.1,Rikenella microfusus DSM 15922,880526,Rikenella microfusus,28139.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Tidjanibacter;s__Tidjanibacter inops_A,GCA_000786575.1,Alistipes inops,1501391,Alistipes inops,1501391.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Tidjanibacter;s__Tidjanibacter sp910577285,GCA_910577285.1,uncultured Rikenellaceae bacterium,331634,uncultured Rikenellaceae bacterium,331634.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__UBA940;s__UBA940 sp900768115,GCA_900768115.1,uncultured Alistipes sp.,538949,uncultured Alistipes sp.,538949.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides acidifaciens,GCF_014385205.1,Parabacteroides acidifaciens,2290935,Parabacteroides acidifaciens,2290935.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides bouchesdurhonensis,GCF_003472765.1,Bacteroides sp. AM07-16,2292000,Bacteroides sp. AM07-16,2292000.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides chinchillae,GCF_900108035.1,Parabacteroides chinchillae,871327,Parabacteroides chinchillae,871327.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis,GCF_015549535.1,Parabacteroides distasonis,823,Parabacteroides distasonis,823.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis_A,GCF_003671805.1,Parabacteroides distasonis,823,Parabacteroides distasonis,823.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides faecavium,GCA_018384275.1,Parabacteroides sp.,1869337,Parabacteroides sp.,1869337.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides faecis,GCF_014385325.1,Parabacteroides faecis,1217282,Parabacteroides faecis,1217282.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides goldsteinii,GCF_001039445.1,Parabacteroides goldsteinii,328812,Parabacteroides goldsteinii,328812.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides gordonii,GCF_000428565.1,Parabacteroides gordonii MS-1 = DSM 23371,1203610,Parabacteroides gordonii,574930.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides intestinipullorum,GCA_019114965.1,Candidatus Parabacteroides intestinipullorum,2838723,Candidatus Parabacteroides intestinipullorum,2838723.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides johnsonii,GCF_015548455.1,Parabacteroides johnsonii,387661,Parabacteroides johnsonii,387661.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides massiliensis,GCF_900155425.1,Parabacteroides massiliensis,1750560,Parabacteroides massiliensis,1750560.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides merdae,GCF_015548105.1,Parabacteroides merdae,46503,Parabacteroides merdae,46503.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides sp003473295,GCF_003473295.1,Parabacteroides sp. AM08-6,2292053,Parabacteroides sp. AM08-6,2292053.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides sp003480915,GCF_003480915.1,Parabacteroides sp. TM07-1AC,2292363,Parabacteroides sp. TM07-1AC,2292363.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides sp900541965,GCA_905203665.1,uncultured Parabacteroides sp.,512312,uncultured Parabacteroides sp.,512312.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides sp900548175,GCA_905187625.1,uncultured Parabacteroides sp.,512312,uncultured Parabacteroides sp.,512312.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides sp900549585,GCA_905200755.1,uncultured Parabacteroides sp.,512312,uncultured Parabacteroides sp.,512312.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides timonensis,GCF_900128505.1,Parabacteroides timonensis,1871013,Parabacteroides timonensis,1871013.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA11471;g__UBA11471;s__UBA11471 sp000434215,GCA_018265855.1,Coprobacter sp.,1941478,Coprobacter sp.,1941478.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA11471;g__UBA11471;s__UBA11471 sp900542765,GCA_018715595.1,Candidatus Caccoplasma merdavium,2840717,Candidatus Caccoplasma merdavium,2840717.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Coprenecus;s__Coprenecus sp900550465,GCA_905207695.1,uncultured Alistipes sp.,538949,uncultured Alistipes sp.,538949.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Coprenecus;s__Coprenecus stercorigallinarum,GCA_018711305.1,Candidatus Coprenecus stercorigallinarum,2840736,Candidatus Coprenecus stercorigallinarum,2840736.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Cryptobacteroides;s__Cryptobacteroides avistercoris,GCA_014870665.1,Bacteroidales bacterium,2030927,Bacteroidales bacterium,2030927.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Cryptobacteroides;s__Cryptobacteroides pullicola,GCA_018711725.1,Candidatus Cryptobacteroides pullicola,2840772,Candidatus Cryptobacteroides pullicola,2840772.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Cryptobacteroides;s__Cryptobacteroides sp000431015,GCA_014870575.1,Bacteroidales bacterium,2030927,Bacteroidales bacterium,2030927.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Cryptobacteroides;s__Cryptobacteroides sp000432515,GCA_014870615.1,Bacteroidales bacterium,2030927,Bacteroidales bacterium,2030927.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Cryptobacteroides;s__Cryptobacteroides sp000432655,GCA_018385255.1,Bacteroidales bacterium,2030927,Bacteroidales bacterium,2030927.0
