covered_ec_count,pathway_id,pathway_name,total_ec_count,pathway_ec,covered_ec,covered_ratio
3.0,PWY-6760,D-xylose degradation III,5.0,"3.1.1.68,1.1.1.424,4.2.1.82,4.2.1.141,1.2.1.26","4.2.1.82,1.2.1.26,4.2.1.141",0.6
2.0,XYLCAT-PWY,D-xylose degradation I,2.0,"2.7.1.17,5.3.1.5","2.7.1.17,5.3.1.5",1.0
4.0,PWY-7294,D-xylose degradation IV,7.0,"1.1.1.359,4.2.1.82,4.1.2.28,1.2.99,2.3.3.9,3.1.1.110,1.1.1.26","1.1.1.26,4.2.1.82,4.1.2.28,2.3.3.9",0.5714285714285714
1.0,PWY-5515,L-arabinose degradation II,3.0,"1.1.1.21,1.1.1.12,1.1.1.10",1.1.1.21,0.3333333333333333
3.0,ARABCAT-PWY,L-arabinose degradation I,3.0,"5.1.3.4,2.7.1.16,5.3.1.4","5.1.3.4,5.3.1.4,2.7.1.16",1.0
4.0,PWY-7295,L-arabinose degradation IV,7.0,"1.2.99,1.1.1.376,2.3.3.9,4.1.2.18,1.1.1.26,4.2.1.25,3.1.1.15","1.1.1.26,4.2.1.25,3.1.1.15,2.3.3.9",0.5714285714285714
4.0,PWY-5517,L-arabinose degradation III,5.0,"1.1.1.376,1.2.1.26,4.2.1.43,4.2.1.25,3.1.1.15","4.2.1.43,4.2.1.25,3.1.1.15,1.2.1.26",0.8
2.0,DARABITOLUTIL-PWY,D-arabinitol degradation I,2.0,"2.7.1.17,1.1.1.11","2.7.1.17,1.1.1.11",1.0
2.0,RIBITOLUTIL-PWY,ribitol degradation I,2.0,"2.7.1.47,1.1.1.56","1.1.1.56,2.7.1.47",1.0
2.0,LARABITOLUTIL-PWY,xylitol degradation I,2.0,"2.7.1.17,1.1.1.9","2.7.1.17,1.1.1.9",1.0
9.0,PWY-5181,toluene degradation III (aerobic) (via p-cresol),9.0,"1.2.1.96,1.14.13.236,3.1.1.24,5.5.1.2,1.14.13.2,2.3.1.174,2.8.3.6,4.1.1.44,1.13.11.3","4.1.1.44,1.14.13.2,1.13.11.3,5.5.1.2,3.1.1.24,2.3.1.174,1.14.13.236,1.2.1.96,2.8.3.6",1.0
12.0,PWY-5178,toluene degradation IV (aerobic) (via catechol),13.0,"1.1.1.90,3.7.1.9,1.2.1.28,5.3.2.6,1.3.1.25,1.14.15.26,4.1.1.77,4.2.1.80,1.13.11.2,1.14.12.10,1.2.1.10,4.1.3.39,1.2.1.85","3.7.1.9,4.1.1.77,1.1.1.90,1.13.11.2,5.3.2.6,4.1.3.39,1.2.1.10,1.14.12.10,1.2.1.85,4.2.1.80,1.2.1.28,1.3.1.25",0.9230769230769231
6.0,PWY-5179,toluene degradation V (aerobic) (via toluene-cis-diol),7.0,"1.3.1.19,4.2.1.80,3.7.1.25,1.13.11.2,1.14.12.11,1.2.1.10,4.1.3.39","1.13.11.2,4.1.3.39,1.2.1.10,1.3.1.19,4.2.1.80,1.14.12.11",0.8571428571428571
4.0,PWY-5180,toluene degradation I (aerobic) (via o-cresol),6.0,"3.7.1.25,4.2.1.80,1.13.11.2,1.14.13.243,1.2.1.10,4.1.3.39","4.1.3.39,1.2.1.10,1.13.11.2,4.2.1.80",0.6666666666666666
2.0,PWY-7700,4-methylphenol degradation to protocatechuate,2.0,"1.2.1.96,1.14.13.2","1.14.13.2,1.2.1.96",1.0
1.0,TOLUENE-DEG-4-OH-PWY,toluene degradation to 4-methylphenol,1.0,1.14.13.236,1.14.13.236,1.0
1.0,TOLUENE-DEG-2-OH-PWY,toluene degradation to 2-hydroxypentadienoate I (via o-cresol),3.0,"1.13.11.2,3.7.1.25,1.14.13.243",1.13.11.2,0.3333333333333333
7.0,PWY-5420,catechol degradation II (meta-cleavage pathway),7.0,"5.3.2.6,4.1.1.77,4.2.1.80,1.13.11.2,1.2.1.10,4.1.3.39,1.2.1.85","4.1.1.77,1.13.11.2,5.3.2.6,4.1.3.39,1.2.1.10,1.2.1.85,4.2.1.80",1.0
2.0,TOLUENE-DEG-CATECHOL-PWY,toluene degradation to benzoate,3.0,"1.14.15.26,1.1.1.90,1.2.1.28","1.2.1.28,1.1.1.90",0.6666666666666666
5.0,PWY-5989,stearate biosynthesis II (bacteria and plants),6.0,"4.2.1.59,6.2.1.3,3.1.2.14,2.3.1.41,1.3.1.9,1.1.1.100","1.3.1.9,4.2.1.59,2.3.1.41,1.1.1.100,6.2.1.3",0.8333333333333334
8.0,PWY-5971,palmitate biosynthesis II (type II fatty acid synthase),12.0,"4.2.1.59,6.2.1.3,2.3.1.41,2.3.1.179,6.2.1.2,6.2.1.3,3.1.2.14,1.3.1.9,1.1.1.100,3.1.2.21,2.3.1.179,2.3.1.41","3.1.2.21,2.3.1.179,1.3.1.9,4.2.1.59,2.3.1.41,1.1.1.100,6.2.1.2,6.2.1.3",0.6666666666666666
2.0,PWY-5147,oleate biosynthesis I (plants),3.0,"6.2.1.3,1.14.19.2,3.1.2.14","1.14.19.2,6.2.1.3",0.6666666666666666
1.0,PWY-5133,colupulone and cohumulone biosynthesis,5.0,"2.3.1.156,2.5.1.136,1.14.99.M4,2.5.1.137,6.2.1.1",6.2.1.1,0.2
1.0,PWY-5132,lupulone and humulone biosynthesis,5.0,"2.3.1.156,2.5.1.136,6.2.1.1,1.14.99.M4,2.5.1.137",6.2.1.1,0.2
1.0,PWY-7857,adlupulone and adhumulone biosynthesis,5.0,"2.5.1.136,2.3.1.156,6.2.1.1,1.14.99.M4,2.5.1.137",6.2.1.1,0.2
3.0,PROPIONMET-PWY,propanoyl CoA degradation I,3.0,"6.4.1.3,5.1.99.1,5.4.99.2","6.4.1.3,5.1.99.1,5.4.99.2",1.0
2.0,PWY-4821,UDP-alpha-D-xylose biosynthesis,2.0,"1.1.1.22,4.1.1.35","4.1.1.35,1.1.1.22",1.0
1.0,PWY-3261,UDP-beta-L-rhamnose biosynthesis,3.0,"5.1.3,1.1.1,4.2.1.76",4.2.1.76,0.3333333333333333
1.0,PWY-7344,UDP-alpha-D-galactose biosynthesis,1.0,5.1.3.2,5.1.3.2,1.0
1.0,PWY-4861,UDP-alpha-D-galacturonate biosynthesis I (from UDP-D-glucuronate),1.0,5.1.3.6,5.1.3.6,1.0
1.0,PWY-7346,UDP-alpha-D-glucuronate biosynthesis (from UDP-glucose),1.0,1.1.1.22,1.1.1.22,1.0
1.0,PWY-63,UDP-beta-L-arabinose biosynthesis I (from UDP-alpha-D-xylose),1.0,5.1.3.5,5.1.3.5,1.0
2.0,PWY-5483,pyruvate fermentation to acetate III,2.0,"1.2.7.1,6.2.1.13","1.2.7.1,6.2.1.13",1.0
6.0,P108-PWY,pyruvate fermentation to propanoate I,7.0,"1.3.5.1,5.1.99.1,2.8.3.27,4.2.1.2,2.1.3.1,1.1.1.37,5.4.99.2","5.1.99.1,1.1.1.37,5.4.99.2,4.2.1.2,1.3.5.1,2.1.3.1",0.8571428571428571
3.0,PWY-5048,rosmarinic acid biosynthesis I,11.0,"4.3.1.25,4.3.1.24,1.1.1.237,1.14.14,2.3.1,2.6.1.1,2.6.1.57,2.6.1.5,2.6.1.27,1.14.14.91,6.2.1.12","4.3.1.24,2.6.1.57,2.6.1.1",0.2727272727272727
2.0,PWY-5033,nicotinate degradation II,4.0,"5.2.1.1,3.5.1.107,1.17.99,1.17.3.3","3.5.1.107,5.2.1.1",0.5
6.0,PWY-722,nicotinate degradation I,6.0,"5.2.1.1,1.13.11.9,1.17.2.1,3.5.1.107,3.5.1.106,1.14.13.114","1.17.2.1,1.14.13.114,1.13.11.9,3.5.1.106,5.2.1.1,3.5.1.107",1.0
8.0,PWY-5055,nicotinate degradation III,8.0,"1.3.7.1,3.5.2.18,4.2.1.85,4.1.3.32,1.1.1.291,1.17.1.5,5.3.3.6,5.4.99.4","4.1.3.32,1.17.1.5,3.5.2.18,5.4.99.4,1.1.1.291,1.3.7.1,5.3.3.6,4.2.1.85",1.0
4.0,PWY-6595,superpathway of guanosine nucleotides degradation (plants),5.0,"3.2.2.1,3.1.3.5,3.5.4.3,3.5.4.15,1.17.1.4","3.5.4.3,1.17.1.4,3.1.3.5,3.2.2.1",0.8
4.0,PWY-6596,adenosine nucleotides degradation I,9.0,"3.1.3.5,3.2.2.2,1.1.1.205,3.1.3.99,3.1.3.5,3.5.4.17,3.5.4.6,3.2.2.1,1.17.1.4","3.2.2.1,1.1.1.205,3.1.3.5,1.17.1.4",0.4444444444444444
2.0,PWY-7380,biotin biosynthesis from 8-amino-7-oxononanoate II,2.0,"6.3.3.3,2.6.1.105","2.6.1.105,6.3.3.3",1.0
2.0,PWY-6578,8-amino-7-oxononanoate biosynthesis III,2.0,"2.3.1.47,6.2.1.14","6.2.1.14,2.3.1.47",1.0
2.0,PWY-4983,nitric oxide biosynthesis II (mammals),3.0,"4.3.2.1,6.3.4.5,1.14.13.39","4.3.2.1,6.3.4.5",0.6666666666666666
4.0,PWY-4984,urea cycle,5.0,"6.3.4.16,4.3.2.1,2.1.3.3,3.5.3.1,6.3.4.5","2.1.3.3,3.5.3.1,6.3.4.5,4.3.2.1",0.8
8.0,CITRULBIO-PWY,L-citrulline biosynthesis,8.0,"1.2.1.41,3.5.1.38,3.5.1.2,1.5.5.2,2.7.2.11,2.1.3.3,3.5.3.1,2.6.1.13","3.5.1.2,1.5.5.2,3.5.3.1,2.6.1.13,1.2.1.41,2.7.2.11,2.1.3.3,3.5.1.38",1.0
2.0,PWY-3561,choline biosynthesis III,3.0,"2.7.8.2,2.7.7.15,3.1.4.4","3.1.4.4,2.7.7.15",0.6666666666666666
1.0,PWY-3385,choline biosynthesis I,4.0,"3.1.3.75,2.1.1.103,2.7.1.82,4.1.1",2.1.1.103,0.25
4.0,PANTO-PWY,phosphopantothenate biosynthesis I,4.0,"2.1.2.11,1.1.1.169,6.3.2.1,2.7.1.33","1.1.1.169,2.1.2.11,2.7.1.33,6.3.2.1",1.0
4.0,PWY-3941,beta-alanine biosynthesis II,6.0,"1.1.1.59,2.6.1.18,6.2.1.17,3.1.2.4,1.3.8.1,4.2.1.116","1.3.8.1,4.2.1.116,6.2.1.17,2.6.1.18",0.6666666666666666
2.0,GLUTATHIONESYN-PWY,glutathione biosynthesis,2.0,"6.3.2.2,6.3.2.3","6.3.2.2,6.3.2.3",1.0
9.0,NADSYN-PWY,NAD de novo biosynthesis II (from tryptophan),9.0,"1.13.11.6,2.7.7.18,1.13.11.11,1.13.11.52,3.7.1.3,2.4.2.19,3.5.1.9,6.3.5.1,1.14.13.9","1.14.13.9,2.4.2.19,3.5.1.9,1.13.11.52,1.13.11.11,2.7.7.18,6.3.5.1,3.7.1.3,1.13.11.6",1.0
4.0,PWY3O-4107,NAD salvage pathway V (PNC V cycle),5.0,"2.7.7.18,6.3.4.21,3.5.1.19,6.3.5.1,2.3.1.286","6.3.4.21,6.3.5.1,2.7.7.18,3.5.1.19",0.8
2.0,PWY3O-4106,NAD salvage pathway IV (from nicotinamide riboside),2.0,"2.7.1.22,2.7.7.1","2.7.1.22,2.7.7.1",1.0
2.0,PWY-3462,L-phenylalanine biosynthesis II,4.0,"5.4.99.5,2.6.1.79,4.2.1.91,2.6.1.78","5.4.99.5,4.2.1.91",0.5
2.0,PWY-3461,L-tyrosine biosynthesis II,4.0,"5.4.99.5,2.6.1.79,2.6.1.78,1.3.1.78","5.4.99.5,1.3.1.78",0.5
2.0,PWY-6963,ammonia assimilation cycle I,2.0,"1.4.1.14,6.3.1.2","1.4.1.14,6.3.1.2",1.0
2.0,PWY-6964,ammonia assimilation cycle II,2.0,"6.3.1.2,1.4.7.1","6.3.1.2,1.4.7.1",1.0
2.0,HOMOSER-THRESYN-PWY,L-threonine biosynthesis,2.0,"2.7.1.39,4.2.3.1","2.7.1.39,4.2.3.1",1.0
4.0,4-HYDROXYMANDELATE-DEGRADATION-PWY,4-hydroxymandelate degradation,6.0,"1.2.1.96,4.1.1.7,1.1.5,5.1.2.2,1.2.1.64,1.14.13.2","1.14.13.2,5.1.2.2,4.1.1.7,1.2.1.96",0.6666666666666666
1.0,PWY-6079,anthranilate degradation I (aerobic),1.0,1.14.12.1,1.14.12.1,1.0
4.0,PWY-1501,mandelate degradation I,5.0,"4.1.1.7,1.1.99.31,1.2.1.28,1.2.1.7,5.1.2.2","1.2.1.28,4.1.1.7,5.1.2.2,1.1.99.31",0.8
2.0,PWY-2503,benzoate degradation I (aerobic),2.0,"1.14.12.10,1.3.1.25","1.14.12.10,1.3.1.25",1.0
3.0,QUINATEDEG-PWY,quinate degradation I,3.0,"1.1.5.8,4.2.1.118,4.2.1.10","4.2.1.118,1.1.5.8,4.2.1.10",1.0
2.0,P183-PWY,catechol degradation to 2-hydroxypentadienoate I,2.0,"1.13.11.2,3.7.1.9","3.7.1.9,1.13.11.2",1.0
4.0,CATECHOL-ORTHO-CLEAVAGE-PWY,catechol degradation to beta-ketoadipate,4.0,"5.3.3.4,3.1.1.24,5.5.1.1,1.13.11.1","5.3.3.4,3.1.1.24,5.5.1.1,1.13.11.1",1.0
4.0,PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY,protocatechuate degradation II (ortho-cleavage pathway),4.0,"5.5.1.2,3.1.1.24,4.1.1.44,1.13.11.3","4.1.1.44,1.13.11.3,5.5.1.2,3.1.1.24",1.0
2.0,SHIKIMATEDEG-PWY,shikimate degradation I,2.0,"1.1.5.8,4.2.1.118","4.2.1.118,1.1.5.8",1.0
2.0,PWY-2361,3-oxoadipate degradation,2.0,"2.3.1.174,2.8.3.6","2.3.1.174,2.8.3.6",1.0
3.0,PWY-5162,"2-hydroxypenta-2,4-dienoate degradation",3.0,"4.1.3.39,4.2.1.80,1.2.1.10","4.1.3.39,1.2.1.10,4.2.1.80",1.0
4.0,TRPCAT-PWY,L-tryptophan degradation I (via anthranilate),4.0,"3.5.1.9,3.7.1.3,1.13.11.11,1.13.11.52","1.13.11.52,3.5.1.9,1.13.11.11,3.7.1.3",1.0
1.0,PWY-1701,methanol and methylamine oxidation to formaldehyde,3.0,"1.4.9.1,1.1.2.7,1.1.2.e",1.4.9.1,0.3333333333333333
1.0,PWY-1881,formate oxidation to CO2,1.0,1.17.1.9,1.17.1.9,1.0
1.0,FORMASS-PWY,formaldehyde oxidation IV (thiol-independent),1.0,1.2.1.46,1.2.1.46,1.0
3.0,PWY-1801,formaldehyde oxidation II (glutathione-dependent),3.0,"3.1.2.12,4.4.1.22,1.1.1.284","4.4.1.22,3.1.2.12,1.1.1.284",1.0
2.0,PWY-1723,formaldehyde oxidation VI (H4MPT pathway),3.0,"1.5.1,3.5.4.27,4.2.1.147","4.2.1.147,3.5.4.27",0.6666666666666666
1.0,PWY-1641,methane oxidation to methanol I,1.0,1.14.13.25,1.14.13.25,1.0
1.0,PWY-6967,methylamine degradation I,1.0,1.4.9.1,1.4.9.1,1.0
1.0,PWY-1263,taurine degradation I,1.0,2.6.1.77,2.6.1.77,1.0
1.0,PWY0-981,taurine degradation IV,1.0,1.14.11.17,1.14.11.17,1.0
1.0,TAURINEDEG-PWY,taurine degradation III,1.0,2.6.1.55,2.6.1.55,1.0
2.0,PWY-1281,sulfoacetaldehyde degradation I,2.0,"2.3.1.8,2.3.3.15","2.3.1.8,2.3.3.15",1.0
1.0,PWY-5001,tetrahydroxyxanthone biosynthesis (from benzoate),2.0,"6.2.1.25,2.3.1.220",6.2.1.25,0.5
10.0,PWY0-162,superpathway of pyrimidine ribonucleotides de novo biosynthesis,10.0,"6.3.5.5,1.3.5.2,4.1.1.23,6.3.4.2,3.5.2.3,2.7.4.22,2.7.4.14,2.4.2.10,2.7.4.6,2.1.3.2","2.4.2.10,2.7.4.14,2.7.4.6,3.5.2.3,1.3.5.2,6.3.4.2,2.7.4.22,2.1.3.2,6.3.5.5,4.1.1.23",1.0
18.0,DENOVOPURINE2-PWY,superpathway of purine nucleotides de novo biosynthesis II,19.0,"1.1.1.205,2.1.2.3,6.3.4.18,3.5.4.10,6.3.3.1,6.3.5.3,2.7.4.8,6.3.4.4,2.7.4.6,6.3.5.2,2.7.4.3,4.3.2.2,6.3.1.21,1.1.98.6,6.3.2.6,1.17.4.1,5.4.99.18,2.4.2.14,6.3.4.13","4.3.2.2,6.3.5.2,2.7.4.6,1.1.98.6,6.3.4.4,1.17.4.1,2.1.2.3,2.4.2.14,2.7.4.3,5.4.99.18,1.1.1.205,6.3.3.1,6.3.4.18,6.3.5.3,3.5.4.10,6.3.4.13,2.7.4.8,6.3.2.6",0.9473684210526315
1.0,PWY0-662,PRPP biosynthesis,1.0,2.7.6.1,2.7.6.1,1.0
7.0,HISTSYN-PWY,L-histidine biosynthesis,8.0,"3.5.4.19,3.6.1.31,4.3.2.10,4.2.1.19,3.1.3.15,2.4.2.17,5.3.1.16,2.6.1.9","2.6.1.9,3.6.1.31,5.3.1.16,3.1.3.15,2.4.2.17,3.5.4.19,4.2.1.19",0.875
4.0,P142-PWY,pyruvate fermentation to acetate I,4.0,"2.7.2.15,2.7.2.1,2.3.1.8,1.2.7.1","2.7.2.1,2.3.1.8,2.7.2.15,1.2.7.1",1.0
4.0,PWY-8188,L-alanine degradation VI (reductive Stickland reaction),5.0,"2.6.1.2,1.3.1.95,2.8.3.1,1.1.1.28,4.2.1.54","1.1.1.28,2.6.1.2,2.8.3.1,4.2.1.54",0.8
2.0,PWY-8189,L-alanine degradation V (oxidative Stickland reaction),2.0,"1.2.7.1,2.6.1.2","1.2.7.1,2.6.1.2",1.0
2.0,PWY-5785,"di-trans,poly-cis-undecaprenyl phosphate biosynthesis",2.0,"3.6.1.27,2.5.1.31","3.6.1.27,2.5.1.31",1.0
1.0,PWY0-1303,aminopropylcadaverine biosynthesis,2.0,"4.1.1.18,2.5.1",4.1.1.18,0.5
3.0,PWY-43,putrescine biosynthesis II,3.0,"3.5.3.12,3.5.1.53,4.1.1.19","3.5.3.12,3.5.1.53,4.1.1.19",1.0
6.0,PWY4FS-7,phosphatidylglycerol biosynthesis I,6.0,"2.3.1.15,2.7.8.5,2.3.1.51,2.7.7.41,1.1.1.94,3.1.3.27","2.7.7.41,1.1.1.94,3.1.3.27,2.3.1.15,2.3.1.51,2.7.8.5",1.0
6.0,PWY4FS-8,phosphatidylglycerol biosynthesis II,6.0,"2.3.1.15,2.7.8.5,2.3.1.51,2.7.7.41,1.1.1.94,3.1.3.27","2.7.7.41,1.1.1.94,3.1.3.27,2.3.1.15,2.3.1.51,2.7.8.5",1.0
4.0,PWY0-1319,CDP-diacylglycerol biosynthesis II,4.0,"2.3.1.15,2.3.1.51,2.7.7.41,1.1.1.94","2.3.1.15,2.3.1.51,1.1.1.94,2.7.7.41",1.0
4.0,PWY-5667,CDP-diacylglycerol biosynthesis I,4.0,"2.3.1.15,2.3.1.51,2.7.7.41,1.1.1.94","2.3.1.15,2.3.1.51,1.1.1.94,2.7.7.41",1.0
1.0,PWY4FS-6,phosphatidylethanolamine biosynthesis II,4.0,"2.7.8.1,2.7.7.14,2.7.1.82,4.1.1",2.7.7.14,0.25
2.0,PWY-5669,phosphatidylserine and phosphatidylethanolamine biosynthesis I,2.0,"2.7.8.8,4.1.1.65","2.7.8.8,4.1.1.65",1.0
2.0,PWY3O-450,phosphatidylcholine biosynthesis I,3.0,"2.7.8.2,2.7.1.32,2.7.7.15","2.7.7.15,2.7.1.32",0.6666666666666666
2.0,PWY4FS-4,phosphatidylcholine biosynthesis IV,4.0,"2.7.8,2.7.7,2.1.1.103,2.1.1.71","2.1.1.71,2.1.1.103",0.5
2.0,PWY4FS-3,phosphatidylcholine biosynthesis III,4.0,"2.7.8,2.1.1.103,2.1.1.71,2.7.7.57","2.1.1.71,2.1.1.103",0.5
2.0,PWY4FS-2,phosphatidylcholine biosynthesis II,3.0,"2.7.8.2,2.1.1.103,2.7.7.15","2.7.7.15,2.1.1.103",0.6666666666666666
3.0,PWY-5668,cardiolipin biosynthesis I,3.0,"3.1.3.27,2.7.8.41,2.7.8.5","2.7.8.41,3.1.3.27,2.7.8.5",1.0
3.0,PWY0-1545,cardiolipin biosynthesis III,3.0,"2.7.8.5,2.7.8.41,3.1.3.27","2.7.8.41,3.1.3.27,2.7.8.5",1.0
3.0,OXIDATIVEPENT-PWY,pentose phosphate pathway (oxidative branch) I,3.0,"1.1.1.44,3.1.1.31,1.1.1.49","3.1.1.31,1.1.1.44,1.1.1.49",1.0
4.0,NONOXIPENT-PWY,pentose phosphate pathway (non-oxidative branch) I,4.0,"5.1.3.1,5.3.1.6,2.2.1.1,2.2.1.2","2.2.1.1,5.1.3.1,5.3.1.6,2.2.1.2",1.0
4.0,COA-PWY,coenzyme A biosynthesis I (bacteria),4.0,"4.1.1.36,2.7.1.24,2.7.7.3,6.3.2.5","4.1.1.36,2.7.1.24,6.3.2.5,2.7.7.3",1.0
1.0,PWY-5155,beta-alanine biosynthesis III,1.0,4.1.1.11,4.1.1.11,1.0
2.0,CHOLINE-BETAINE-ANA-PWY,choline degradation I,2.0,"1.2.1.8,1.1.99.1","1.1.99.1,1.2.1.8",1.0
4.0,PWY-5485,pyruvate fermentation to acetate IV,4.0,"2.7.2.15,2.7.2.1,2.3.1.54,2.3.1.8","2.7.2.1,2.3.1.8,2.7.2.15,2.3.1.54",1.0
1.0,PWY-5481,pyruvate fermentation to (S)-lactate,1.0,1.1.1.27,1.1.1.27,1.0
3.0,PWY-5480,pyruvate fermentation to ethanol I,3.0,"1.1.1.1,2.3.1.54,1.2.1.10","1.1.1.1,2.3.1.54,1.2.1.10",1.0
3.0,PWY0-1324,N-acetylneuraminate and N-acetylmannosamine degradation I,3.0,"5.1.3.9,2.7.1.60,4.1.3.3","2.7.1.60,5.1.3.9,4.1.3.3",1.0
3.0,PWY-5482,pyruvate fermentation to acetate II,4.0,"2.7.2.15,2.7.2.1,2.3.1.8,1.2.1.104","2.7.2.1,2.3.1.8,2.7.2.15",0.75
6.0,THRESYN-PWY,superpathway of L-threonine biosynthesis,6.0,"4.2.3.1,2.6.1.1,1.1.1.3,2.7.1.39,1.2.1.11,2.7.2.4","1.2.1.11,1.1.1.3,2.6.1.1,2.7.1.39,2.7.2.4,4.2.3.1",1.0
9.0,DAPLYSINESYN-PWY,L-lysine biosynthesis I,9.0,"2.3.1.117,3.5.1.18,1.17.1.8,4.3.3.7,5.1.1.7,1.2.1.11,2.7.2.4,2.6.1.17,4.1.1.20","1.2.1.11,2.3.1.117,4.1.1.20,2.7.2.4,4.3.3.7,5.1.1.7,3.5.1.18,1.17.1.8,2.6.1.17",1.0
3.0,PWY-5523,"5,6-dimethylbenzimidazole biosynthesis I (aerobic)",3.0,"1.13.11.79,1.5.1.39,2.7.1.26","2.7.1.26,1.5.1.39,1.13.11.79",1.0
9.0,PWY-7376,"cob(II)yrinate a,c-diamide biosynthesis II (late cobalt incorporation)",9.0,"6.3.5.9,2.1.1.131,6.6.1.2,1.14.13.83,2.1.1.130,5.4.99.61,2.1.1.133,1.3.1.54,2.1.1.152","2.1.1.131,2.1.1.133,1.14.13.83,6.6.1.2,2.1.1.130,6.3.5.9,5.4.99.61,1.3.1.54,2.1.1.152",1.0
1.0,PWY-7309,acrylonitrile degradation II,1.0,3.5.5.7,3.5.5.7,1.0
2.0,PWY-7308,acrylonitrile degradation I,2.0,"3.5.1.4,4.2.1.84","3.5.1.4,4.2.1.84",1.0
3.0,PWY-6223,gentisate degradation I,3.0,"5.2.1.4,1.13.11.4,3.7.1.20","3.7.1.20,1.13.11.4,5.2.1.4",1.0
5.0,PWY-5044,purine nucleotides degradation I (plants),11.0,"3.2.2.1,3.1.3.5,3.2.2.2,3.5.4.3,1.1.1.205,3.1.3.99,3.1.3.5,3.5.4.17,3.5.4.6,3.5.4.15,1.17.1.4","3.1.3.5,3.5.4.3,1.1.1.205,3.2.2.1,1.17.1.4",0.45454545454545453
3.0,PWY-5694,allantoin degradation to glyoxylate I,3.0,"3.5.3.4,4.3.2.3,3.5.2.5","3.5.3.4,4.3.2.3,3.5.2.5",1.0
3.0,PWY-5691,urate conversion to allantoin I,3.0,"1.7.3.3,3.5.2.17,4.1.1.97","4.1.1.97,1.7.3.3,3.5.2.17",1.0
1.0,PWY-5951,"(R,R)-butanediol biosynthesis",1.0,1.1.1.4,1.1.1.4,1.0
2.0,PWY-5939,pyruvate fermentation to (R)-acetoin II,2.0,"2.2.1.6,4.1.1.5","4.1.1.5,2.2.1.6",1.0
2.0,PWY-5938,pyruvate fermentation to (R)-acetoin I,2.0,"2.2.1.6,1.1.1.303","1.1.1.303,2.2.1.6",1.0
2.0,PUTDEG-PWY,putrescine degradation I,2.0,"2.6.1.82,1.2.1.19","2.6.1.82,1.2.1.19",1.0
3.0,PWY0-1221,putrescine degradation II,4.0,"6.3.1.11,1.2.1.99,3.5.1.94,1.4.3.M3","3.5.1.94,1.2.1.99,6.3.1.11",0.75
10.0,ARGDEG-PWY,"superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation",11.0,"1.4.3.M3,2.6.1.82,1.2.1.24,3.5.1.94,4.1.1.19,1.2.1.19,6.3.1.11,3.5.3.11,2.6.1.19,1.2.1.99,1.2.1.79","3.5.3.11,3.5.1.94,4.1.1.19,1.2.1.79,2.6.1.82,1.2.1.19,1.2.1.24,2.6.1.19,6.3.1.11,1.2.1.99",0.9090909090909091
6.0,ORNDEG-PWY,superpathway of ornithine degradation,7.0,"1.4.3.M3,2.6.1.82,3.5.1.94,1.2.1.19,6.3.1.11,4.1.1.17,1.2.1.99","3.5.1.94,2.6.1.82,4.1.1.17,1.2.1.19,6.3.1.11,1.2.1.99",0.8571428571428571
3.0,PWY-5653,NAD biosynthesis from 2-amino-3-carboxymuconate semialdehyde,3.0,"2.4.2.19,2.7.7.18,6.3.5.1","6.3.5.1,2.7.7.18,2.4.2.19",1.0
3.0,HOMOSERSYN-PWY,L-homoserine biosynthesis,3.0,"1.2.1.11,2.7.2.4,1.1.1.3","1.2.1.11,2.7.2.4,1.1.1.3",1.0
5.0,HOMOSER-METSYN-PWY,L-methionine biosynthesis I,5.0,"2.1.1.13,2.1.1.14,4.4.1.13,2.5.1.48,2.3.1.46","2.3.1.46,4.4.1.13,2.5.1.48,2.1.1.14,2.1.1.13",1.0
1.0,PWY-5459,methylglyoxal degradation IV,3.0,"1.1.5.M6,1.2.1.22,1.1.1.283",1.2.1.22,0.3333333333333333
1.0,PWY-5453,methylglyoxal degradation III,1.0,1.1.1.21,1.1.1.21,1.0
3.0,PWY-5386,methylglyoxal degradation I,3.0,"3.1.2.6,4.4.1.5,1.1.5.12","1.1.5.12,3.1.2.6,4.4.1.5",1.0
8.0,METSYN-PWY,superpathway of L-homoserine and L-methionine biosynthesis,8.0,"2.1.1.13,2.1.1.14,2.3.1.46,1.1.1.3,4.4.1.13,1.2.1.11,2.5.1.48,2.7.2.4","2.3.1.46,1.2.1.11,4.4.1.13,1.1.1.3,2.5.1.48,2.7.2.4,2.1.1.14,2.1.1.13",1.0
4.0,PWY-1269,CMP-3-deoxy-D-manno-octulosonate biosynthesis,4.0,"3.1.3.45,5.3.1.13,2.7.7.38,2.5.1.55","3.1.3.45,5.3.1.13,2.7.7.38,2.5.1.55",1.0
6.0,NAGLIPASYN-PWY,lipid IVA biosynthesis (E. coli),6.0,"2.7.1.130,3.5.1.108,2.4.1.182,3.6.1.54,2.3.1.129,2.3.1.191","2.7.1.130,2.3.1.129,2.4.1.182,3.6.1.54,2.3.1.191,3.5.1.108",1.0
2.0,KDOSYN-PWY,Kdo transfer to lipid IVA (E. coli),2.0,"2.4.99.13,2.4.99.12","2.4.99.13,2.4.99.12",1.0
